[2025-04-26 14:38:16,132] INFO __init__: Application lancée.
[2025-04-26 14:38:17,937] INFO __init__: Application lancée.
[2025-04-26 14:38:37,086] INFO __init__: Application lancée.
[2025-04-26 14:38:37,086] INFO __init__: Application lancée.
[2025-04-26 14:38:37,342] INFO __init__: Application lancée.
[2025-04-26 14:38:37,342] INFO __init__: Application lancée.
[2025-04-26 14:38:38,913] INFO __init__: Application lancée.
[2025-04-26 14:38:54,449] INFO __init__: Application lancée.
[2025-04-26 14:38:54,449] INFO __init__: Application lancée.
[2025-04-26 14:38:54,706] INFO __init__: Application lancée.
[2025-04-26 14:38:54,706] INFO __init__: Application lancée.
[2025-04-26 14:38:54,706] INFO __init__: Application lancée.
[2025-04-26 14:38:56,266] INFO __init__: Application lancée.
[2025-04-26 14:39:01,844] INFO __init__: Application lancée.
[2025-04-26 14:39:01,844] INFO __init__: Application lancée.
[2025-04-26 14:39:02,096] INFO __init__: Application lancée.
[2025-04-26 14:39:02,096] INFO __init__: Application lancée.
[2025-04-26 14:39:02,096] INFO __init__: Application lancée.
[2025-04-26 14:39:02,096] INFO __init__: Application lancée.
[2025-04-26 14:39:03,650] INFO __init__: Application lancée.
[2025-04-26 14:39:19,091] INFO __init__: Application lancée.
[2025-04-26 14:39:19,091] INFO __init__: Application lancée.
[2025-04-26 14:39:19,349] INFO __init__: Application lancée.
[2025-04-26 14:39:19,349] INFO __init__: Application lancée.
[2025-04-26 14:39:19,349] INFO __init__: Application lancée.
[2025-04-26 14:39:19,349] INFO __init__: Application lancée.
[2025-04-26 14:39:19,349] INFO __init__: Application lancée.
[2025-04-26 14:39:20,947] INFO __init__: Application lancée.
[2025-04-26 14:39:27,347] INFO __init__: Application lancée.
[2025-04-26 14:39:27,347] INFO __init__: Application lancée.
[2025-04-26 14:39:27,603] INFO __init__: Application lancée.
[2025-04-26 14:39:27,603] INFO __init__: Application lancée.
[2025-04-26 14:39:27,603] INFO __init__: Application lancée.
[2025-04-26 14:39:27,603] INFO __init__: Application lancée.
[2025-04-26 14:39:27,603] INFO __init__: Application lancée.
[2025-04-26 14:39:27,603] INFO __init__: Application lancée.
[2025-04-26 14:39:29,104] INFO __init__: Application lancée.
[2025-04-26 14:47:08,088] INFO __init__: Application lancée.
[2025-04-26 14:47:08,088] INFO __init__: Application lancée.
[2025-04-26 14:47:08,292] INFO __init__: Application lancée.
[2025-04-26 14:47:08,292] INFO __init__: Application lancée.
[2025-04-26 14:47:08,292] INFO __init__: Application lancée.
[2025-04-26 14:47:08,292] INFO __init__: Application lancée.
[2025-04-26 14:47:08,292] INFO __init__: Application lancée.
[2025-04-26 14:47:08,292] INFO __init__: Application lancée.
[2025-04-26 14:47:08,292] INFO __init__: Application lancée.
[2025-04-26 14:47:10,805] INFO __init__: Application lancée.
[2025-04-26 15:04:09,499] INFO __init__: Application lancée.
[2025-04-26 19:13:34,735] INFO __init__: Application lancée.
[2025-04-26 19:13:36,685] INFO __init__: Application lancée.
[2025-04-26 19:13:49,151] INFO __init__: Application lancée.
[2025-04-26 19:13:49,151] INFO __init__: Application lancée.
[2025-04-26 19:13:49,403] INFO __init__: Application lancée.
[2025-04-26 19:13:49,403] INFO __init__: Application lancée.
[2025-04-26 19:13:50,937] INFO __init__: Application lancée.
[2025-04-26 20:19:04,174] INFO __init__: Application lancée.
[2025-04-26 20:31:08,111] INFO __init__: Application lancée.
[2025-04-26 20:41:11,536] INFO __init__: Application lancée.
2025-04-27 20:12:15,450 - root - INFO - Logging system initialized successfully.
2025-04-27 20:12:15,452 - root - DEBUG - This is a debug message
2025-04-27 20:12:15,452 - root - INFO - Application started
2025-04-27 20:12:15,453 - root - WARNING - This is a warning
2025-04-27 20:12:15,453 - root - ERROR - An error occurred
2025-04-27 20:12:15,454 - root - CRITICAL - Critical error encountered
